,w_star,method,gamma,N,mean_variance,expected_return
2116,"[4.38657481e-01 2.17451792e-16 1.99856416e-03 5.30702094e-01
 2.86418613e-02]",bagging,10,50,0.9866454981031128,27.424201582260938
2117,"[3.07213601e-16 2.62452869e-01 1.92420444e-16 6.84784073e-01
 5.27630589e-02]",SAA,10,100,1.0938218813169596,27.531854781115808
2118,[0.16805291 0.12027349 0.00166183 0.594881   0.11513078],bagging,10,100,1.0647374944408914,27.313032132877545
2119,"[1.00000000e+00 4.22439861e-14 0.00000000e+00 7.35522754e-14
 0.00000000e+00]",SAA,10,200,1.1040000000009744,26.11000000000559
2120,"[8.31696852e-01 1.40069534e-03 1.05649221e-13 1.62417412e-01
 4.48504035e-03]",bagging,10,200,1.0393204257241924,26.517495994842076
2121,"[6.84337252e-01 7.12971349e-16 0.00000000e+00 3.15662748e-01
 6.93889390e-17]",SAA,10,50,0.9972056009594263,26.921253261801887
2122,[0.59585823 0.0098959  0.00209229 0.30892397 0.08322962],bagging,10,50,1.026937776789849,26.74023262123623
2123,"[4.33895684e-01 0.00000000e+00 1.25086438e-16 4.76147201e-01
 8.99571149e-02]",SAA,10,100,1.0082828177095684,27.16008107490328
2124,"[3.65480427e-01 3.75295446e-02 2.88851951e-15 4.07785627e-01
 1.89204402e-01]",bagging,10,100,1.0631926596219903,26.759067975872213
2125,"[7.48638731e-01 0.00000000e+00 7.77589798e-16 2.51361269e-01
 0.00000000e+00]",SAA,10,200,1.0119614144221023,26.755998460465918
2126,"[7.04968425e-01 3.06082704e-15 1.56047567e-14 2.93959290e-01
 1.07228490e-03]",bagging,10,200,1.0020449390668693,26.86340586525648
2127,"[2.20352582e-01 0.00000000e+00 5.89805982e-17 7.79647418e-01
 1.38777878e-17]",SAA,10,50,0.9968665681521798,28.113693863792
2128,"[2.67595143e-01 1.17592121e-15 1.56521957e-02 7.03722788e-01
 1.30298739e-02]",bagging,10,50,1.010135730042748,27.93708953390266
2129,"[2.57434160e-01 2.50884383e-16 2.30935063e-17 6.73162832e-01
 6.94030072e-02]",SAA,10,100,1.010956982588144,27.706080675609456
2130,[0.27443604 0.05801402 0.00074446 0.50125258 0.1655529 ],bagging,10,100,1.060378835774499,27.02856647052607
2131,"[8.40854250e-01 0.00000000e+00 5.20417043e-16 1.59145750e-01
 0.00000000e+00]",SAA,10,200,1.0393725199377553,26.51900457682165
2132,"[7.89811360e-01 5.23762281e-16 1.06120984e-15 1.93135330e-01
 1.70533101e-02]",bagging,10,200,1.0318682542011302,26.573444909343248
2133,[0.16719193 0.         0.01624652 0.81656155 0.        ],SAA,10,50,1.0259908194268226,28.25389098365205
2134,"[3.02492940e-01 3.79340842e-02 8.60603227e-02 5.72964245e-01
 5.48408699e-04]",bagging,10,50,1.1189794588734885,27.787427304236758
2135,"[4.84200888e-01 2.93168267e-16 0.00000000e+00 5.15799112e-01
 0.00000000e+00]",SAA,10,100,0.9741945192554997,27.435603718794475
2136,[0.43915372 0.00349176 0.0012145  0.36928566 0.18685435],bagging,10,100,1.0556179868129818,26.698681128230312
2137,"[9.76847360e-01 6.67868538e-17 1.69135539e-16 2.31526400e-02
 9.10729825e-17]",SAA,10,200,1.0932346033864837,26.16950228471804
2138,"[7.15523739e-01 2.48093947e-03 3.04547389e-04 2.80781573e-01
 9.09200859e-04]",bagging,10,200,1.0057918006164068,26.82847072789102
2139,"[7.60448187e-01 0.00000000e+00 5.55111512e-17 2.39551813e-01
 8.32667268e-17]",SAA,10,50,1.0150606246003555,26.72564815956336
2140,[0.51811717 0.07045775 0.01785764 0.33667515 0.05689228],bagging,10,50,1.0503846487142825,26.851863877433928
2141,"[8.78752805e-01 2.72351586e-16 0.00000000e+00 1.21247195e-01
 5.55111512e-17]",SAA,10,100,1.0527730643904958,26.421605291277814
2142,[0.67693719 0.01125648 0.00592203 0.21569038 0.09019393],bagging,10,100,1.0536152065806021,26.49664162618963
2143,"[1.80411242e-15 7.88258347e-15 0.00000000e+00 1.00000000e+00
 3.63598041e-15]",SAA,10,200,1.062000000000097,28.68000000000051
2144,"[8.83403853e-02 1.29844340e-02 2.56729639e-04 7.76927637e-01
 1.21490815e-01]",bagging,10,200,1.0627927376779955,27.861257038876225
2145,"[1.89631361e-01 6.40659319e-01 1.69709320e-01 3.33121117e-17
 2.14672030e-17]",SAA,10,50,1.6584809740144024,26.00689561571007
2146,[0.27199922 0.27394626 0.23023625 0.20732757 0.01649069],bagging,10,50,1.6223375359091743,27.006812324577407
2147,"[7.75358348e-01 0.00000000e+00 7.95804395e-17 2.24641652e-01
 0.00000000e+00]",SAA,10,100,1.0191460718158925,26.687329045449985
2148,"[7.31207146e-01 5.63479487e-03 1.97500939e-15 2.49438582e-01
 1.37194768e-02]",bagging,10,100,1.0165963291163003,26.719507250385735
2149,"[2.79478551e-01 4.30428262e-17 0.00000000e+00 7.20521449e-01
 0.00000000e+00]",SAA,10,200,0.9865447633159441,27.961740123478723
2150,[0.27833523 0.00130816 0.01179229 0.70648    0.00208432],bagging,10,200,1.0008166195917543,27.95335400427656
2151,"[7.81542344e-01 1.69569220e-16 0.00000000e+00 1.26978749e-01
 9.14789064e-02]",SAA,10,50,1.069178842147907,26.259781096377264
2152,[0.3482545  0.0470711  0.06422889 0.43605486 0.10439065],bagging,10,50,1.1316451118657138,27.166021659047317
2153,"[9.79560974e-01 0.00000000e+00 3.60822483e-16 2.04390258e-02
 9.97465999e-17]",SAA,10,100,1.094472350138334,26.16252829625839
2154,"[7.93761706e-01 1.86344286e-02 3.51677751e-04 1.73195226e-01
 1.40569613e-02]",bagging,10,100,1.0409747571105936,26.5121919916523
2155,"[1.00000000e+00 1.59872116e-14 0.00000000e+00 1.63757896e-14
 1.07691633e-14]",SAA,10,200,1.1040000000002816,26.110000000001552
2156,"[9.62724729e-01 1.77402521e-03 2.62153010e-13 3.23657922e-02
 3.13545325e-03]",bagging,10,200,1.0896998388045414,26.18553203858227
2157,"[1.38500322e-14 1.01030295e-14 0.00000000e+00 1.00000000e+00
 1.44606549e-14]",SAA,10,50,1.0620000000003809,28.68000000000207
2158,[0.19449286 0.02160863 0.00409366 0.76693702 0.01286783],bagging,10,50,1.0120464788894106,28.04816678511908
2159,"[5.40177524e-01 0.00000000e+00 4.59822476e-01 4.97648797e-17
 8.32342008e-16]",SAA,10,100,2.4190612497748174,27.392904709221988
2160,"[4.93349507e-01 4.11461385e-15 4.09460034e-01 9.64718187e-02
 7.18641280e-04]",bagging,10,100,2.161472159203476,27.49893908985556
2161,"[6.10609738e-01 1.65657455e-01 0.00000000e+00 2.23732806e-01
 1.34549490e-16]",SAA,10,200,1.0519813168466614,26.535901602696924
2162,"[4.17807223e-01 3.11875381e-01 4.09488941e-04 2.68527141e-01
 1.38076632e-03]",bagging,10,200,1.0806665802887925,26.51790450511748
2163,"[3.31153760e-01 0.00000000e+00 1.99926881e-16 6.68846240e-01
 2.14672030e-16]",SAA,10,50,0.980002877784393,27.82893483725334
2164,[0.39416585 0.05133684 0.000844   0.55298248 0.00067084],bagging,10,50,0.9879529048718139,27.486021864459165
2165,[0.0000000e+00 4.0939474e-16 1.5959456e-16 1.0000000e+00 0.0000000e+00],SAA,10,100,1.0620000000000016,28.680000000000003
2166,"[6.66221043e-02 4.68950690e-16 8.76548995e-03 9.21777079e-01
 2.83532630e-03]",bagging,10,100,1.0468693913319758,28.497950631410465
2167,"[9.63099649e-01 0.00000000e+00 2.87964097e-16 3.69003506e-02
 1.23165367e-16]",SAA,10,200,1.0870619218038864,26.20483390101144
2168,"[8.94704018e-01 1.01819031e-15 3.86421567e-15 1.05295982e-01
 3.20772488e-16]",bagging,10,200,1.0587851849868146,26.380610674628375
2169,"[1.50053674e-14 5.44914242e-15 0.00000000e+00 6.02471316e-03
 9.93975287e-01]",SAA,10,50,1.6034348722390437,24.20711120922842
2170,"[1.60897929e-03 6.74778632e-15 4.07683593e-04 3.71075657e-01
 6.26907680e-01]",bagging,10,50,1.3168167261057984,25.854870055321143
2171,"[5.74945982e-01 2.70616862e-16 0.00000000e+00 4.25054018e-01
 4.16333634e-17]",SAA,10,100,0.980329849050579,27.202388825966494
2172,"[5.44102066e-01 2.72137824e-15 4.94066154e-03 4.48528430e-01
 2.42884184e-03]",bagging,10,100,0.9848080605890588,27.27181484636475
2173,"[1.00000000e+00 1.88737914e-15 0.00000000e+00 1.16018306e-14
 1.66533454e-15]",SAA,10,200,1.1040000000001577,26.110000000000905
2174,"[9.37358325e-01 2.31510635e-03 6.41418845e-04 5.96851496e-02
 1.04126949e-14]",bagging,10,200,1.078235029322098,26.26309679742756
2175,"[1.00000000e+00 0.00000000e+00 5.46784840e-15 1.03528297e-14
 1.60704783e-14]",SAA,10,50,1.1040000000000463,26.110000000000245
2176,[0.62466055 0.00833218 0.02308141 0.08875851 0.25516735],bagging,10,50,1.1672070725559491,25.902534551026015
2177,"[8.98625849e-01 0.00000000e+00 4.85288892e-16 1.01374151e-01
 0.00000000e+00]",SAA,10,100,1.0602970974929837,26.370531567330744
2178,"[7.78751176e-01 1.10638727e-04 1.44105303e-14 2.20799851e-01
 3.38333967e-04]",bagging,10,100,1.0203191949812407,26.67670305719722
2179,"[1.34016675e-01 1.54281969e-15 0.00000000e+00 8.65983325e-01
 5.04154010e-16]",SAA,10,200,1.0173763631198782,28.33557714422905
2180,"[1.74677020e-01 1.10482749e-01 4.83641430e-04 7.12499153e-01
 1.85743629e-03]",bagging,10,200,1.01964312578614,27.83945285666385
2181,"[0.00000000e+00 0.00000000e+00 4.48779001e-17 5.01819836e-01
 4.98180164e-01]",SAA,10,50,1.2397558051393842,26.438189259872
2182,[0.01596746 0.02201484 0.02798483 0.53576044 0.39827242],bagging,10,50,1.2367036378280147,26.77650288994827
2183,"[1.00000000e+00 5.55111512e-16 1.05471187e-15 0.00000000e+00
 0.00000000e+00]",SAA,10,100,1.1040000000000032,26.110000000000017
2184,[0.96421206 0.00905776 0.0114621  0.01050663 0.00476146],bagging,10,100,1.1143969648568497,26.151639687302882
2185,"[8.27668699e-01 6.86299975e-16 0.00000000e+00 1.72331301e-01
 1.06360233e-15]",SAA,10,200,1.0350018994656325,26.552891443823686
2186,"[7.30214091e-01 8.70342067e-03 3.22057427e-14 2.60591443e-01
 4.91044889e-04]",bagging,10,200,1.0112965983352833,26.770939213423965
2187,"[1.44764460e-01 1.31838984e-16 0.00000000e+00 8.55235540e-01
 5.03069808e-16]",SAA,10,50,1.014471368440454,28.307955338146417
2188,[0.17324903 0.01481473 0.0469844  0.717762   0.04718983],bagging,10,50,1.0813658248160256,27.98132518003553
2189,"[9.53547311e-01 0.00000000e+00 3.70580303e-16 4.64526889e-02
 1.00830802e-16]",SAA,10,100,1.0828693228377224,26.22938341037438
2190,"[7.56869945e-01 1.91872045e-02 3.08868757e-05 1.80128460e-01
 4.37835039e-02]",bagging,10,100,1.0451195520574283,26.471245669446727
2191,"[1.00000000e+00 0.00000000e+00 1.13797860e-15 9.15933995e-16
 0.00000000e+00]",SAA,10,200,1.1040000000000063,26.11000000000003
2192,[0.87875703 0.00369516 0.03813789 0.02510706 0.05430286],bagging,10,200,1.1520971972853267,26.172799710041073
2193,"[7.45241944e-01 0.00000000e+00 1.36349265e-15 2.54758056e-01
 0.00000000e+00]",SAA,10,50,1.011092345227313,26.76472820417947
2194,[0.56893814 0.01694373 0.00196266 0.28145758 0.1306979 ],bagging,10,50,1.0489882469284537,26.571325502633215
2195,"[1.00000000e+00 0.00000000e+00 4.92383911e-14 0.00000000e+00
 0.00000000e+00]",SAA,10,100,1.104000000000208,26.110000000000966
2196,"[9.24765087e-01 9.65631262e-03 7.08234528e-04 2.83264828e-02
 3.65438832e-02]",bagging,10,100,1.0981111439074835,26.10555465902024
2197,"[9.29322184e-02 6.35071992e-02 3.35235312e-16 4.62520647e-16
 8.43560582e-01]",SAA,10,200,1.5104466872865387,24.42477159677609
2198,[0.31151632 0.09140038 0.00694098 0.05040324 0.53973909],bagging,10,200,1.3169003704755218,25.134944849953634
2199,"[8.35363966e-01 2.84494650e-16 1.31838984e-16 8.32667268e-17
 1.64636034e-01]",SAA,10,50,1.1326789171709812,25.792252453708862
2200,"[5.83961336e-01 3.60251942e-04 1.66371645e-03 2.80316046e-01
 1.33698649e-01]",bagging,10,50,1.0457145496932774,26.576691387841404
2201,"[8.03101001e-01 1.30104261e-17 0.00000000e+00 1.96898999e-01
 1.75207071e-16]",SAA,10,100,1.0272600457733403,26.61603042866381
2202,[0.5850356  0.06501774 0.00794919 0.32133073 0.02066675],bagging,10,100,1.0255319861715915,26.859595434298765
2203,"[1.54157021e-02 8.25088577e-01 3.64291930e-17 1.59495721e-01
 0.00000000e+00]",SAA,10,200,1.2784456757447784,25.77732428306775
2204,[0.25865585 0.387411   0.0233509  0.25112834 0.07945392],bagging,10,200,1.1795309684674797,26.31853287648737
2205,"[4.98523375e-01 1.61329283e-16 0.00000000e+00 5.01476625e-01
 1.99493200e-16]",SAA,10,50,0.9746889258780729,27.398794925895967
2206,[0.46604119 0.00639873 0.00675038 0.51495534 0.00585436],bagging,10,50,0.9861158112985904,27.435211007675765
2207,"[5.17794068e-01 7.69024601e-16 0.00000000e+00 2.93140183e-01
 1.89065749e-01]",SAA,10,100,1.061670380091512,26.49847337568322
2208,"[4.20351890e-01 9.90138311e-02 1.45495154e-04 3.27484727e-01
 1.53004057e-01]",bagging,10,100,1.0711783068903453,26.56763140240848
2209,"[1.77756195e-01 2.84494650e-16 0.00000000e+00 8.22243805e-01
 0.00000000e+00]",SAA,10,200,1.0061789435297435,28.2231665798255
2210,"[2.18414175e-01 3.04351357e-15 2.24481998e-04 7.80207411e-01
 1.15393175e-03]",bagging,10,200,0.997788119157677,28.11353226323731
2211,"[8.68886954e-17 0.00000000e+00 3.66480703e-17 4.92110939e-01
 5.07889061e-01]",SAA,10,50,1.2450889042954714,26.394499225515947
2212,"[1.42813604e-01 4.51349557e-04 1.14807560e-02 4.81890363e-01
 3.63363928e-01]",bagging,10,50,1.1660174249792874,26.678790946405165
2213,"[1.00000000e+00 0.00000000e+00 2.04614103e-13 0.00000000e+00
 0.00000000e+00]",SAA,10,100,1.1040000000008408,26.110000000003872
2214,"[8.48921974e-01 9.17521274e-03 5.49329632e-13 1.27983806e-01
 1.39190072e-02]",bagging,10,100,1.0541293680445318,26.403797006265176
2215,"[4.30245855e-01 0.00000000e+00 8.18789481e-16 5.69754145e-01
 1.56125113e-16]",SAA,10,200,0.9739271483561756,27.574268153169907
2216,"[4.32189287e-01 1.29012283e-15 6.06616854e-15 5.67707868e-01
 1.02844475e-04]",bagging,10,200,0.9739287831992458,27.568810732075978
2217,"[1.00000000e+00 0.00000000e+00 2.10859108e-13 0.00000000e+00
 0.00000000e+00]",SAA,10,50,1.1040000000008368,26.110000000003826
2218,"[9.79859388e-01 9.94231885e-03 8.96062483e-04 9.12872680e-03
 1.73504182e-04]",bagging,10,50,1.1019765109037354,26.126677892201158
2219,"[0.00000000e+00 0.00000000e+00 1.13539733e-12 1.00000000e+00
 0.00000000e+00]",SAA,10,100,1.0620000000049554,28.680000000023018
2220,"[6.29295485e-02 5.12140397e-14 1.16673985e-06 8.73409971e-01
 6.36593137e-02]",bagging,10,100,1.0530076532121742,28.231804405400467
2221,"[2.93771935e-01 0.00000000e+00 2.06432094e-15 7.06228065e-01
 0.00000000e+00]",SAA,10,200,0.9845039177206516,27.92500612789643
2222,"[2.82807719e-01 3.95082020e-02 2.16315417e-04 6.55008814e-01
 2.24589497e-02]",bagging,10,200,0.9993349009876988,27.715073016440957
2223,"[4.99081292e-01 1.92554306e-16 2.77555756e-17 5.00918708e-01
 0.00000000e+00]",SAA,10,50,0.9747117797167468,27.397361080172246
2224,[0.47723325 0.00701066 0.00637747 0.50572023 0.00365838],bagging,10,50,0.9852815537287012,27.41412386791741
2225,"[8.99094191e-01 0.00000000e+00 3.07046055e-16 1.00905809e-01
 0.00000000e+00]",SAA,10,100,1.0604785388954934,26.36932793019786
2226,[0.53715991 0.1606262  0.00164481 0.20927545 0.09129364],bagging,10,100,1.0854117701091668,26.33166661663017
2227,"[0.00000000e+00 0.00000000e+00 1.15669153e-14 1.09251693e-15
 1.00000000e+00]",SAA,10,200,1.6090000000001212,24.18000000000051
2228,"[1.55771062e-01 1.54481455e-02 3.38172810e-12 1.89455624e-01
 6.39325169e-01]",bagging,10,200,1.3226483330261525,25.349100047788397
2229,"[5.21909356e-01 0.00000000e+00 2.29850861e-16 2.77555756e-17
 4.78090644e-01]",SAA,10,50,1.2466258629176203,25.18728505777259
2230,[0.39746418 0.0996757  0.02036805 0.17832561 0.30416646],bagging,10,50,1.1935918957355378,25.94837429594987
2231,"[5.88686602e-01 0.00000000e+00 1.54607230e-16 4.11313398e-01
 0.00000000e+00]",SAA,10,100,0.9818805179778138,27.1670754328008
2232,[0.50899123 0.00421354 0.00489686 0.47350556 0.00839281],bagging,10,100,0.9858774371315007,27.32058123726281
2233,"[4.66517842e-01 0.00000000e+00 1.48318857e-16 0.00000000e+00
 5.33482158e-01]",SAA,10,200,1.2748524273328945,25.080379435783442
2234,[0.47135213 0.0096613  0.00064788 0.11457676 0.40376193],bagging,10,200,1.1889260025309687,25.61831414253829
2235,"[3.34527896e-01 8.99020441e-16 0.00000000e+00 6.65472104e-01
 3.67761377e-16]",SAA,10,50,0.9796561520472102,27.820263306434168
2236,"[3.79356013e-01 4.52816981e-02 2.17275182e-05 5.67975981e-01
 7.36457970e-03]",bagging,10,50,0.988259432722185,27.514791724513103
2237,[1.000000e+00 0.000000e+00 1.438627e-12 0.000000e+00 0.000000e+00],SAA,10,100,1.1040000000061525,26.11000000002853
2238,"[9.39754708e-01 5.91272225e-04 3.73416292e-03 5.59198573e-02
 1.25983879e-13]",bagging,10,100,1.0831764136854658,26.263600202864758
2239,"[3.15761781e-01 9.02056208e-17 0.00000000e+00 0.00000000e+00
 6.84238219e-01]",SAA,10,200,1.363982013963962,24.789420238165533
2240,[0.23373808 0.23454576 0.00744017 0.07490398 0.44937201],bagging,10,200,1.3187156824999602,25.244882130754778
2241,"[1.41886503e-13 7.52176099e-14 0.00000000e+00 1.00000000e+00
 6.82787160e-15]",SAA,10,50,1.0620000000018934,28.680000000010555
2242,"[1.49231662e-01 1.71819710e-03 8.23987451e-03 8.40588557e-01
 2.21709096e-04]",bagging,10,50,1.0218284571432128,28.29132756591786
2243,"[1.00000000e+00 0.00000000e+00 1.33226763e-15 0.00000000e+00
 0.00000000e+00]",SAA,10,100,1.104000000000016,26.110000000000085
2244,"[9.16205979e-01 3.87189835e-15 2.05942956e-14 8.32804146e-02
 5.13606129e-04]",bagging,10,100,1.067520265293623,26.323039405701493
2245,"[8.63404293e-01 1.87675396e-16 0.00000000e+00 1.36595707e-01
 1.30104261e-16]",SAA,10,200,1.0471961209691751,26.461050965915028
2246,"[8.10417784e-01 1.09443198e-03 9.36792598e-15 1.81559740e-01
 6.92804358e-03]",bagging,10,200,1.0335518042801524,26.562252419140048
2247,"[1.00000000e+00 0.00000000e+00 5.55666624e-14 0.00000000e+00
 0.00000000e+00]",SAA,10,50,1.1040000000001915,26.110000000000852
2248,"[8.11079545e-01 1.43423857e-02 3.94676213e-04 1.25479565e-01
 4.87038281e-02]",bagging,10,50,1.0631693212115967,26.326677094041333
2249,"[0.00000000e+00 0.00000000e+00 4.76008122e-14 1.00000000e+00
 2.55351296e-15]",SAA,10,100,1.062000000000186,28.680000000000824
2250,"[2.99751706e-02 5.76126445e-04 7.58475482e-03 9.61863948e-01
 1.18015497e-15]",bagging,10,100,1.057687454543689,28.602633298852332
2251,"[9.61828130e-01 0.00000000e+00 5.09835230e-15 3.81718698e-02
 0.00000000e+00]",SAA,10,200,1.0864992825487239,26.208101705259576
2252,"[8.19864134e-01 2.26231167e-04 7.34512526e-05 1.79799763e-01
 3.64210382e-05]",bagging,10,200,1.0327211079385954,26.5720164182092
2253,"[7.51790365e-01 0.00000000e+00 9.85322934e-16 2.48209635e-01
 0.00000000e+00]",SAA,10,50,1.012776697320839,26.74789876168154
2254,[0.51074289 0.00058036 0.01406307 0.34912739 0.12548629],bagging,10,50,1.0502650384840617,26.80378251672281
2255,"[1.00000000e+00 4.57966998e-16 0.00000000e+00 1.52655666e-16
 1.87350135e-16]",SAA,10,100,1.1040000000000005,26.11
2256,[0.80107305 0.03434932 0.01660309 0.13321265 0.01476189],bagging,10,100,1.0775495490806968,26.439274285831434
2257,"[0.00000000e+00 0.00000000e+00 6.57807142e-15 1.00000000e+00
 5.27355937e-16]",SAA,10,200,1.0620000000000247,28.680000000000117
2258,"[8.95875516e-02 3.03620624e-04 2.50804321e-02 8.84537328e-01
 4.91067762e-04]",bagging,10,200,1.0566990686787037,28.452014319044665
2259,"[1.00000000e+00 7.77156117e-16 1.77080572e-14 0.00000000e+00
 0.00000000e+00]",SAA,10,50,1.1040000000000592,26.11000000000026
2260,"[7.57741568e-01 6.13319325e-04 4.10223435e-03 2.37542878e-01
 2.09904121e-15]",bagging,10,50,1.0205418966216064,26.731378442995524
2261,"[6.55574493e-01 8.89262622e-16 0.00000000e+00 3.44425507e-01
 3.75784473e-16]",SAA,10,100,0.9917642108155973,26.99517355290374
