,w_star,method,gamma,N
744,"[1.11022302e-15 1.38777878e-16 0.00000000e+00 1.00000000e+00
 6.93889390e-16]",Bayesian,5.0,50
745,"[4.71844785e-16 9.15933995e-16 0.00000000e+00 1.00000000e+00
 4.16333634e-16]",Bayesian,5.0,100
746,"[8.10065076e-02 2.84494650e-16 0.00000000e+00 9.18993492e-01
 2.42861287e-17]",Bayesian,5.0,200
747,[0.         0.         0.00202295 0.99797705 0.        ],Bayesian,0.1,50
748,"[3.37768702e-12 1.20950194e-11 0.00000000e+00 1.00000000e+00
 2.35720332e-11]",Bayesian,0.1,100
749,"[2.26332379e-12 6.03691628e-12 3.28816842e-01 6.71183158e-01
 9.55970997e-12]",Bayesian,0.1,200
750,"[5.27355937e-16 0.00000000e+00 7.77156117e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
751,"[8.32667268e-17 0.00000000e+00 8.04911693e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
752,"[1.28793936e-14 2.36708507e-15 7.14030788e-02 9.28596921e-01
 1.93676854e-14]",Bayesian,1.0,200
753,"[5.92189200e-02 1.38777878e-17 1.26043951e-02 9.28176685e-01
 1.09287579e-16]",Bayesian,5.0,50
754,"[3.31549010e-01 8.76035355e-17 0.00000000e+00 6.68450990e-01
 4.85722573e-17]",Bayesian,5.0,100
755,"[0.00000000e+00 1.56125113e-16 0.00000000e+00 1.00000000e+00
 1.59594560e-16]",Bayesian,5.0,200
756,"[3.89263978e-11 3.93652337e-11 1.38947438e-02 9.86105256e-01
 5.00518621e-11]",Bayesian,0.1,50
757,"[1.24122755e-11 1.59062024e-11 2.36679815e-01 7.63320185e-01
 2.27194362e-11]",Bayesian,0.1,100
758,"[6.09117925e-14 1.56202851e-12 4.10052078e-01 5.89947922e-01
 2.67368171e-12]",Bayesian,0.1,200
759,"[3.33066907e-15 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
760,"[0.00000000e+00 0.00000000e+00 1.94289029e-16 1.00000000e+00
 1.11022302e-15]",Bayesian,1.0,100
761,"[0.00000000e+00 2.24820162e-15 0.00000000e+00 1.00000000e+00
 2.77555756e-15]",Bayesian,1.0,200
762,"[1.77313186e-01 2.46330734e-16 2.11636264e-16 8.22686814e-01
 3.12250226e-16]",Bayesian,5.0,50
763,[0.23697122 0.         0.13619054 0.62683824 0.        ],Bayesian,5.0,100
764,[0.04683204 0.         0.02098024 0.93218772 0.        ],Bayesian,5.0,200
765,"[2.42139642e-13 7.07767178e-13 0.00000000e+00 1.00000000e+00
 1.42538759e-12]",Bayesian,0.1,50
766,[0.         0.         0.02099316 0.97900684 0.        ],Bayesian,0.1,100
767,"[3.97848421e-13 1.83944526e-12 0.00000000e+00 1.00000000e+00
 3.08286729e-12]",Bayesian,0.1,200
768,"[2.05585364e-14 1.49132204e-14 1.68359639e-01 8.31640361e-01
 3.07390282e-14]",Bayesian,1.0,50
769,"[1.13797860e-15 0.00000000e+00 1.27675648e-15 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
770,"[2.91888205e-14 3.00343717e-14 4.79463658e-02 9.52053634e-01
 4.40907679e-14]",Bayesian,1.0,200
771,"[3.12250226e-17 2.35922393e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,50
772,"[4.25312165e-01 1.45716772e-16 1.04083409e-17 5.74687835e-01
 0.00000000e+00]",Bayesian,5.0,100
773,"[0.00000000e+00 0.00000000e+00 8.15498882e-02 9.18450112e-01
 2.69870500e-16]",Bayesian,5.0,200
774,"[1.37029786e-13 4.56174435e-13 6.15990405e-01 3.84009595e-01
 8.95245803e-13]",Bayesian,0.1,50
775,"[3.85136038e-13 1.21498669e-12 2.01763849e-01 7.98236151e-01
 2.29947288e-12]",Bayesian,0.1,100
776,"[2.89329625e-14 0.00000000e+00 7.23799320e-01 2.76200680e-01
 0.00000000e+00]",Bayesian,0.1,200
777,"[0.00000000e+00 1.22124533e-15 0.00000000e+00 1.00000000e+00
 3.88578059e-15]",Bayesian,1.0,50
778,"[0.00000000e+00 2.77555756e-17 1.97064587e-15 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
779,"[7.49400542e-16 0.00000000e+00 2.77555756e-16 1.00000000e+00
 3.05311332e-16]",Bayesian,1.0,200
780,"[2.57467605e-01 0.00000000e+00 1.17961196e-16 7.42532395e-01
 6.07153217e-17]",Bayesian,5.0,50
781,"[3.96956955e-01 8.73866951e-17 3.30478375e-17 6.03043045e-01
 0.00000000e+00]",Bayesian,5.0,100
782,"[0.00000000e+00 9.71445147e-17 2.18575158e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,200
783,"[3.45299584e-11 3.85099113e-11 1.46970675e-01 8.53029325e-01
 4.91823423e-11]",Bayesian,0.1,50
784,[0.         0.         0.27296937 0.72703063 0.        ],Bayesian,0.1,100
785,"[0.00000000e+00 0.00000000e+00 1.09889875e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,200
786,[0.         0.         0.06825078 0.93174922 0.        ],Bayesian,1.0,50
787,[1.1379786e-15 0.0000000e+00 0.0000000e+00 1.0000000e+00 0.0000000e+00],Bayesian,1.0,100
788,"[0.00000000e+00 2.22044605e-16 3.88578059e-16 1.00000000e+00
 3.66373598e-15]",Bayesian,1.0,200
789,"[5.26173425e-01 2.77555756e-17 1.11200976e-01 3.62625599e-01
 0.00000000e+00]",Bayesian,5.0,50
790,[4.5461513e-01 3.2439329e-16 0.0000000e+00 5.4538487e-01 0.0000000e+00],Bayesian,5.0,100
791,"[2.04476856e-01 1.35308431e-16 3.46944695e-17 7.95523144e-01
 0.00000000e+00]",Bayesian,5.0,200
792,"[6.47159306e-12 1.09683220e-11 2.64835810e-01 7.35164190e-01
 1.45116175e-11]",Bayesian,0.1,50
793,[0.         0.         0.33305593 0.66694407 0.        ],Bayesian,0.1,100
794,"[6.89026392e-13 1.68329963e-12 2.48521468e-01 7.51478532e-01
 2.63971895e-12]",Bayesian,0.1,200
795,"[5.23777717e-15 3.61617753e-15 7.03586919e-02 9.29641308e-01
 8.57603720e-15]",Bayesian,1.0,50
796,"[3.73641962e-14 3.35188131e-14 6.93442827e-03 9.93065572e-01
 4.89683613e-14]",Bayesian,1.0,100
797,"[1.60487146e-14 1.36368585e-14 8.12170217e-03 9.91878298e-01
 2.35120285e-14]",Bayesian,1.0,200
798,"[9.34916961e-01 1.87350135e-16 0.00000000e+00 6.50830394e-02
 0.00000000e+00]",Bayesian,5.0,50
799,"[8.32667268e-17 0.00000000e+00 7.80625564e-17 1.00000000e+00
 1.69135539e-16]",Bayesian,5.0,100
800,"[6.38378239e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,200
801,[0.         0.         0.00318443 0.99681557 0.        ],Bayesian,0.1,50
802,"[7.39714485e-14 4.97513629e-12 4.63357824e-01 5.36642176e-01
 9.51769755e-12]",Bayesian,0.1,100
803,"[1.63925726e-12 3.43358488e-12 2.32656533e-01 7.67343467e-01
 6.22428220e-12]",Bayesian,0.1,200
804,[0. 0. 0. 1. 0.],Bayesian,1.0,50
805,"[0.00000000e+00 1.55431223e-15 0.00000000e+00 1.00000000e+00
 4.30211422e-15]",Bayesian,1.0,100
806,"[0.00000000e+00 4.16333634e-16 0.00000000e+00 1.00000000e+00
 4.71844785e-15]",Bayesian,1.0,200
807,"[3.86819487e-01 3.82072846e-16 2.72368281e-01 3.40812232e-01
 2.05564732e-16]",Bayesian,5.0,50
808,"[0.00000000e+00 2.22044605e-16 6.24500451e-17 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,100
809,"[3.24341856e-01 0.00000000e+00 0.00000000e+00 6.75658144e-01
 5.53376789e-16]",Bayesian,5.0,200
810,"[0.00000000e+00 0.00000000e+00 5.12342946e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,50
811,"[7.23480273e-13 3.59781027e-12 4.02886929e-01 5.97113071e-01
 6.59600926e-12]",Bayesian,0.1,100
812,[0.         0.         0.34437058 0.65562942 0.        ],Bayesian,0.1,200
813,"[1.24900090e-15 0.00000000e+00 1.44328993e-15 1.00000000e+00
 4.44089210e-15]",Bayesian,1.0,50
814,"[4.63518113e-15 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
815,"[6.93889390e-16 0.00000000e+00 1.11022302e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
816,"[3.47807058e-02 0.00000000e+00 7.45931095e-17 9.65219294e-01
 0.00000000e+00]",Bayesian,5.0,50
817,"[2.19837742e-01 1.38777878e-16 1.47451495e-16 7.80162258e-01
 0.00000000e+00]",Bayesian,5.0,100
818,"[2.59118316e-01 0.00000000e+00 7.28583860e-17 7.40881684e-01
 1.33573708e-16]",Bayesian,5.0,200
819,"[3.07388841e-14 0.00000000e+00 4.98017094e-01 5.01982906e-01
 0.00000000e+00]",Bayesian,0.1,50
820,"[0.00000000e+00 0.00000000e+00 8.88106255e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,100
821,[0.         0.         0.04317204 0.95682796 0.        ],Bayesian,0.1,200
822,"[3.44169138e-15 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
823,"[2.05391260e-15 1.49880108e-15 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
824,"[0.00000000e+00 1.77635684e-15 0.00000000e+00 1.00000000e+00
 1.30451205e-15]",Bayesian,1.0,200
825,"[3.79617025e-01 0.00000000e+00 2.03830008e-17 6.20382975e-01
 0.00000000e+00]",Bayesian,5.0,50
826,"[0.00000000e+00 1.04083409e-17 0.00000000e+00 1.00000000e+00
 2.04697370e-16]",Bayesian,5.0,100
827,"[4.32771232e-01 0.00000000e+00 0.00000000e+00 5.67228768e-01
 7.06466136e-16]",Bayesian,5.0,200
828,"[1.36782252e-12 4.54258853e-12 0.00000000e+00 1.00000000e+00
 9.16999809e-12]",Bayesian,0.1,50
829,[0.         0.         0.35199463 0.64800537 0.        ],Bayesian,0.1,100
830,"[6.44657076e-15 3.95322185e-13 3.54261057e-01 6.45738943e-01
 5.15885472e-13]",Bayesian,0.1,200
831,[4.4408921e-16 0.0000000e+00 0.0000000e+00 1.0000000e+00 0.0000000e+00],Bayesian,1.0,50
832,"[0.00000000e+00 9.43689571e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
833,[0.         0.         0.00863198 0.99136802 0.        ],Bayesian,1.0,200
834,"[2.60892933e-01 3.81639165e-17 0.00000000e+00 7.39107067e-01
 0.00000000e+00]",Bayesian,5.0,50
835,"[4.12434533e-01 4.07660017e-17 0.00000000e+00 5.87565467e-01
 1.83880688e-16]",Bayesian,5.0,100
836,"[3.42248280e-01 1.19262239e-16 0.00000000e+00 6.57751720e-01
 1.82579646e-16]",Bayesian,5.0,200
837,"[0.00000000e+00 0.00000000e+00 6.68903821e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,50
838,"[1.17232947e-13 1.68008296e-12 4.69469145e-01 5.30530855e-01
 3.48760239e-12]",Bayesian,0.1,100
839,[0.         0.         0.08745633 0.91254367 0.        ],Bayesian,0.1,200
840,"[1.11022302e-15 1.99840144e-15 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
841,"[5.55111512e-17 6.66133815e-16 1.38777878e-15 1.00000000e+00
 1.41553436e-15]",Bayesian,1.0,100
842,"[5.27355937e-16 4.99600361e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
843,"[0.00000000e+00 7.63278329e-17 8.32667268e-17 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,50
844,"[0.00000000e+00 3.46944695e-17 0.00000000e+00 1.00000000e+00
 2.84494650e-16]",Bayesian,5.0,100
845,"[3.89121867e-01 1.59160879e-16 0.00000000e+00 6.10878133e-01
 2.15973073e-16]",Bayesian,5.0,200
846,[0.         0.         0.41350009 0.58649991 0.        ],Bayesian,0.1,50
847,"[2.11303873e-11 2.19146023e-11 1.12825453e-01 8.87174547e-01
 2.72781064e-11]",Bayesian,0.1,100
848,"[2.00887245e-11 3.28105985e-11 2.78586336e-01 7.21413664e-01
 4.43628572e-11]",Bayesian,0.1,200
849,[0.0000000e+00 0.0000000e+00 2.0539126e-15 1.0000000e+00 0.0000000e+00],Bayesian,1.0,50
850,"[1.66533454e-16 1.49880108e-15 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
851,"[5.55111512e-17 3.88578059e-15 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
852,[0.         0.         0.09046549 0.90953451 0.        ],Bayesian,5.0,50
853,"[5.80478762e-02 4.25007252e-16 2.25514052e-17 9.41952124e-01
 0.00000000e+00]",Bayesian,5.0,100
854,"[8.62560941e-04 0.00000000e+00 0.00000000e+00 9.99137439e-01
 2.28983499e-16]",Bayesian,5.0,200
855,"[1.06220073e-12 5.58601528e-12 4.89852123e-01 5.10147877e-01
 9.88385658e-12]",Bayesian,0.1,50
856,"[7.83763271e-15 0.00000000e+00 6.00349625e-01 3.99650375e-01
 0.00000000e+00]",Bayesian,0.1,100
857,"[2.76653704e-12 3.57002538e-12 2.48875601e-01 7.51124399e-01
 5.94714001e-12]",Bayesian,0.1,200
858,"[1.13797860e-15 0.00000000e+00 4.99600361e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
859,"[0.00000000e+00 1.11022302e-15 5.16253706e-15 1.00000000e+00
 5.19029264e-15]",Bayesian,1.0,100
860,"[4.77161628e-14 4.34757571e-14 3.46040308e-02 9.65395969e-01
 7.06777873e-14]",Bayesian,1.0,200
861,"[3.77484552e-01 0.00000000e+00 0.00000000e+00 6.22515448e-01
 7.66747776e-16]",Bayesian,5.0,50
862,"[4.18986187e-01 2.63894809e-16 0.00000000e+00 5.81013813e-01
 0.00000000e+00]",Bayesian,5.0,100
863,"[3.45993521e-02 2.77555756e-17 0.00000000e+00 9.65400648e-01
 8.11850587e-16]",Bayesian,5.0,200
864,[0.        0.        0.0397529 0.9602471 0.       ],Bayesian,0.1,50
865,"[4.75702810e-13 1.77113879e-12 0.00000000e+00 1.00000000e+00
 3.06429881e-12]",Bayesian,0.1,100
866,"[4.36843589e-12 8.07675967e-12 2.50260479e-01 7.49739521e-01
 1.19556760e-11]",Bayesian,0.1,200
867,"[0.00000000e+00 1.66533454e-16 0.00000000e+00 1.00000000e+00
 8.68749517e-15]",Bayesian,1.0,50
868,"[0.00000000e+00 4.44089210e-16 7.21644966e-16 1.00000000e+00
 3.41393580e-15]",Bayesian,1.0,100
869,[0.         0.         0.03706087 0.96293913 0.        ],Bayesian,1.0,200
870,[0.30564856 0.         0.         0.69435144 0.        ],Bayesian,5.0,50
871,"[5.80954604e-01 4.14707331e-16 6.74222996e-02 3.51623096e-01
 2.95228252e-16]",Bayesian,5.0,100
872,"[3.02845332e-01 2.23779328e-16 1.73472348e-17 6.97154668e-01
 0.00000000e+00]",Bayesian,5.0,200
873,"[0.00000000e+00 0.00000000e+00 5.48422419e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,50
874,"[7.25947080e-13 2.80592216e-12 0.00000000e+00 1.00000000e+00
 5.15246179e-12]",Bayesian,0.1,100
875,[0.         0.         0.09545755 0.90454245 0.        ],Bayesian,0.1,200
876,"[1.86777098e-14 1.35719119e-14 5.24292988e-02 9.47570701e-01
 2.03122126e-14]",Bayesian,1.0,50
877,"[0.00000000e+00 8.88178420e-16 1.72084569e-15 1.00000000e+00
 4.44089210e-15]",Bayesian,1.0,100
878,"[3.33066907e-16 6.66133815e-16 0.00000000e+00 1.00000000e+00
 1.66533454e-16]",Bayesian,1.0,200
879,"[2.38306511e-16 0.00000000e+00 1.78886140e-01 8.21113860e-01
 0.00000000e+00]",Bayesian,5.0,50
880,"[0.00000000e+00 0.00000000e+00 1.69309011e-15 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,100
881,"[0.00000000e+00 0.00000000e+00 1.63757896e-15 1.00000000e+00
 2.22044605e-16]",Bayesian,5.0,200
882,"[1.68664330e-11 3.37283342e-11 2.51634875e-01 7.48365125e-01
 4.56966334e-11]",Bayesian,0.1,50
883,"[1.66730055e-14 0.00000000e+00 7.62166305e-01 2.37833695e-01
 0.00000000e+00]",Bayesian,0.1,100
884,"[0.00000000e+00 0.00000000e+00 3.31132344e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,200
885,"[6.38378239e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
886,"[0.00000000e+00 0.00000000e+00 4.99600361e-16 1.00000000e+00
 2.66453526e-15]",Bayesian,1.0,100
887,"[4.99600361e-16 6.93889390e-16 3.88578059e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
888,"[1.07210098e-01 2.28983499e-16 0.00000000e+00 8.92789902e-01
 3.01841885e-16]",Bayesian,5.0,50
889,"[5.29070474e-01 2.60208521e-17 1.28369537e-16 4.70929526e-01
 1.89084859e-16]",Bayesian,5.0,100
890,"[2.06101910e-01 6.59194921e-17 0.00000000e+00 7.93898090e-01
 1.92554306e-16]",Bayesian,5.0,200
891,[0.         0.         0.13614493 0.86385507 0.        ],Bayesian,0.1,50
892,"[2.71683935e-13 2.46038122e-12 6.16669449e-01 3.83330551e-01
 4.52920405e-12]",Bayesian,0.1,100
893,[0.         0.         0.15534827 0.84465173 0.        ],Bayesian,0.1,200
894,"[8.60422844e-16 2.69229083e-15 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
895,"[0.00000000e+00 0.00000000e+00 1.44328993e-15 1.00000000e+00
 4.46864767e-15]",Bayesian,1.0,100
896,"[0.00000000e+00 0.00000000e+00 2.22044605e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
897,"[1.35316964e-02 0.00000000e+00 1.73472348e-17 9.86468304e-01
 0.00000000e+00]",Bayesian,5.0,50
898,"[7.17661703e-02 0.00000000e+00 0.00000000e+00 9.28233830e-01
 3.05311332e-16]",Bayesian,5.0,100
899,"[3.05125202e-01 4.99600361e-16 2.25514052e-17 6.94874798e-01
 0.00000000e+00]",Bayesian,5.0,200
900,"[0.00000000e+00 1.48192938e-12 4.60610418e-01 5.39389582e-01
 2.89080741e-12]",Bayesian,0.1,50
901,"[2.65970106e-12 6.54843284e-12 2.14216440e-01 7.85783560e-01
 1.21320712e-11]",Bayesian,0.1,100
902,"[1.64090588e-11 1.88634845e-11 2.69214462e-02 9.73078554e-01
 2.41216237e-11]",Bayesian,0.1,200
903,"[0.00000000e+00 3.01814857e-15 8.39840853e-02 9.16015915e-01
 0.00000000e+00]",Bayesian,1.0,50
904,"[9.43689571e-16 0.00000000e+00 8.88178420e-16 1.00000000e+00
 2.13717932e-15]",Bayesian,1.0,100
905,"[0.00000000e+00 7.49400542e-16 6.93889390e-16 1.00000000e+00
 7.49400542e-15]",Bayesian,1.0,200
906,"[4.36432032e-01 1.60461922e-17 0.00000000e+00 5.63567968e-01
 0.00000000e+00]",Bayesian,5.0,50
907,[0.0000000e+00 0.0000000e+00 1.2490009e-16 1.0000000e+00 0.0000000e+00],Bayesian,5.0,100
908,"[3.84805248e-02 0.00000000e+00 0.00000000e+00 9.61519475e-01
 2.77555756e-17]",Bayesian,5.0,200
909,[0.0000000e+00 0.0000000e+00 1.6345536e-12 1.0000000e+00 0.0000000e+00],Bayesian,0.1,50
910,"[4.01007478e-13 0.00000000e+00 7.19627190e-01 2.80372810e-01
 0.00000000e+00]",Bayesian,0.1,100
911,[0.         0.         0.10622829 0.89377171 0.        ],Bayesian,0.1,200
912,"[1.09091000e-15 5.74582437e-15 5.29097771e-02 9.47090223e-01
 4.44036372e-15]",Bayesian,1.0,50
913,[0.         0.         0.00640043 0.99359957 0.        ],Bayesian,1.0,100
914,"[0.00000000e+00 4.99600361e-16 0.00000000e+00 1.00000000e+00
 1.00197628e-14]",Bayesian,1.0,200
915,"[7.79601069e-01 0.00000000e+00 4.51028104e-17 2.20398931e-01
 2.77555756e-17]",Bayesian,5.0,50
916,"[2.15078826e-01 3.88578059e-16 0.00000000e+00 7.84921174e-01
 0.00000000e+00]",Bayesian,5.0,100
917,"[3.07179370e-01 0.00000000e+00 0.00000000e+00 6.92820630e-01
 6.07153217e-17]",Bayesian,5.0,200
918,"[0.00000000e+00 0.00000000e+00 3.97115674e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,50
919,[0.         0.         0.08746771 0.91253229 0.        ],Bayesian,0.1,100
920,[0.         0.         0.50856207 0.49143793 0.        ],Bayesian,0.1,200
921,"[2.13717932e-15 0.00000000e+00 2.77555756e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
922,"[2.13717932e-15 1.99840144e-15 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
923,[1.0269563e-15 0.0000000e+00 4.4408921e-16 1.0000000e+00 0.0000000e+00],Bayesian,1.0,200
924,"[4.57871543e-01 1.46313083e-16 4.16890130e-03 5.37959556e-01
 0.00000000e+00]",Bayesian,5.0,50
925,[0.38469686 0.         0.07206159 0.54324156 0.        ],Bayesian,5.0,100
926,"[3.43110829e-01 4.68375339e-17 0.00000000e+00 6.56889171e-01
 2.09901541e-16]",Bayesian,5.0,200
927,[0.         0.         0.21415989 0.78584011 0.        ],Bayesian,0.1,50
928,"[5.82173199e-13 1.88574156e-12 0.00000000e+00 1.00000000e+00
 3.55193652e-12]",Bayesian,0.1,100
929,"[1.68023499e-12 3.93391968e-12 2.26100464e-01 7.73899536e-01
 6.30682832e-12]",Bayesian,0.1,200
930,"[4.10277638e-15 5.35849628e-15 1.31922482e-01 8.68077518e-01
 8.55896260e-15]",Bayesian,1.0,50
931,"[1.98041046e-14 1.83265193e-14 3.34893800e-02 9.66510620e-01
 2.98727919e-14]",Bayesian,1.0,100
932,"[1.02695630e-15 1.97064587e-15 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
933,"[2.77555756e-17 0.00000000e+00 6.41847686e-17 1.00000000e+00
 1.68268177e-16]",Bayesian,5.0,50
934,"[1.66533454e-16 4.09394740e-16 0.00000000e+00 1.00000000e+00
 3.67761377e-16]",Bayesian,5.0,100
935,"[3.05311332e-16 1.38777878e-16 0.00000000e+00 1.00000000e+00
 1.73472348e-16]",Bayesian,5.0,200
936,"[4.98739938e-13 1.95055083e-12 0.00000000e+00 1.00000000e+00
 3.89210886e-12]",Bayesian,0.1,50
937,[0.         0.         0.06731277 0.93268723 0.        ],Bayesian,0.1,100
938,"[5.14293681e-12 6.07056448e-12 1.46636613e-01 8.53363387e-01
 7.98242991e-12]",Bayesian,0.1,200
939,"[9.04646119e-15 3.12666888e-15 1.24573000e-02 9.87542700e-01
 1.66184064e-14]",Bayesian,1.0,50
940,"[2.49800181e-16 7.21644966e-16 4.44089210e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
941,[8.8817842e-16 0.0000000e+00 0.0000000e+00 1.0000000e+00 5.4678484e-15],Bayesian,1.0,200
942,"[2.58473798e-16 0.00000000e+00 6.00630813e-03 9.93993692e-01
 0.00000000e+00]",Bayesian,5.0,50
943,"[1.47434752e-01 2.04697370e-16 0.00000000e+00 8.52565248e-01
 3.57353036e-16]",Bayesian,5.0,100
944,"[2.60762774e-01 0.00000000e+00 0.00000000e+00 7.39237226e-01
 4.51461785e-16]",Bayesian,5.0,200
945,"[1.06196481e-11 1.24660313e-11 1.40948398e-01 8.59051602e-01
 1.52972841e-11]",Bayesian,0.1,50
946,[0.         0.         0.32403451 0.67596549 0.        ],Bayesian,0.1,100
947,"[9.70325911e-12 2.11577778e-11 2.84715080e-01 7.15284920e-01
 3.04602063e-11]",Bayesian,0.1,200
948,"[0.00000000e+00 0.00000000e+00 1.27675648e-15 1.00000000e+00
 2.74780199e-15]",Bayesian,1.0,50
949,"[2.49800181e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 2.83106871e-15]",Bayesian,1.0,100
950,"[0.00000000e+00 9.15933995e-16 8.32667268e-17 1.00000000e+00
 2.44249065e-15]",Bayesian,1.0,200
951,"[7.71220112e-02 1.04083409e-17 0.00000000e+00 9.22877989e-01
 1.04083409e-17]",Bayesian,5.0,50
952,"[5.26874863e-01 1.44849410e-16 0.00000000e+00 4.73125137e-01
 0.00000000e+00]",Bayesian,5.0,100
953,"[1.75843879e-01 0.00000000e+00 7.63278329e-17 8.24156121e-01
 0.00000000e+00]",Bayesian,5.0,200
954,"[2.69735010e-13 6.82752819e-13 3.72107033e-01 6.27892967e-01
 1.09752049e-12]",Bayesian,0.1,50
955,"[2.10646261e-13 2.23718593e-12 3.32653133e-01 6.67346867e-01
 3.87435168e-12]",Bayesian,0.1,100
956,"[2.78228546e-11 2.89175193e-11 1.60020093e-01 8.39979906e-01
 3.57376281e-11]",Bayesian,0.1,200
957,"[0.00000000e+00 0.00000000e+00 7.77156117e-16 1.00000000e+00
 2.58126853e-15]",Bayesian,1.0,50
958,"[4.44089210e-16 0.00000000e+00 2.49800181e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
959,"[0.00000000e+00 0.00000000e+00 1.60982339e-15 1.00000000e+00
 8.60422844e-15]",Bayesian,1.0,200
960,"[3.41594473e-01 0.00000000e+00 9.54097912e-17 6.58405527e-01
 4.99600361e-16]",Bayesian,5.0,50
961,"[0.00000000e+00 0.00000000e+00 3.05311332e-16 1.00000000e+00
 2.77555756e-17]",Bayesian,5.0,100
962,"[1.73472348e-18 8.67361738e-17 8.23993651e-18 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,200
963,[0.         0.         0.08628666 0.91371334 0.        ],Bayesian,0.1,50
964,"[3.52368718e-13 1.67822684e-12 4.53517498e-01 5.46482502e-01
 3.58293093e-12]",Bayesian,0.1,100
965,"[2.21999135e-13 1.94474582e-12 3.29937417e-01 6.70062583e-01
 2.93655341e-12]",Bayesian,0.1,200
966,"[0.00000000e+00 1.66533454e-16 8.88178420e-16 1.00000000e+00
 2.13717932e-15]",Bayesian,1.0,50
967,"[1.66533454e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 5.44009282e-15]",Bayesian,1.0,100
968,"[3.33066907e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 6.10622664e-16]",Bayesian,1.0,200
969,"[0.00000000e+00 1.80536208e-16 4.16258045e-02 9.58374196e-01
 0.00000000e+00]",Bayesian,5.0,50
970,"[0.00000000e+00 1.38777878e-17 6.93889390e-17 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,100
971,"[1.06532160e-01 3.12250226e-16 1.17961196e-16 8.93467840e-01
 0.00000000e+00]",Bayesian,5.0,200
972,"[2.21273740e-13 6.92305923e-13 2.44540344e-01 7.55459657e-01
 1.39294740e-12]",Bayesian,0.1,50
973,"[8.18095591e-13 2.84505752e-12 0.00000000e+00 1.00000000e+00
 5.44739254e-12]",Bayesian,0.1,100
974,[0.         0.         0.36669057 0.63330943 0.        ],Bayesian,0.1,200
975,"[0.00000000e+00 1.40673422e-15 5.83652923e-02 9.41634708e-01
 0.00000000e+00]",Bayesian,1.0,50
976,"[3.33066907e-16 0.00000000e+00 9.43689571e-16 1.00000000e+00
 4.16333634e-15]",Bayesian,1.0,100
977,"[7.49400542e-16 0.00000000e+00 5.55111512e-17 1.00000000e+00
 2.96984659e-15]",Bayesian,1.0,200
978,"[3.39098797e-01 6.68952740e-16 6.22332047e-17 6.60901203e-01
 1.27534702e-15]",Bayesian,5.0,50
